min,max,mean,var,std
0.0,0.6363636,0.027564611,0.0032096156,0.05665347
0.0,0.3125,0.01848383,0.0011924219,0.034531463
0.0,0.54545456,0.018019905,0.0012937329,0.035968497
0.0,0.3116883,0.017925717,0.0012378923,0.035183694
0.0,0.3846154,0.018500248,0.0014529307,0.038117327
0.0,0.41666666,0.01616893,0.0010590248,0.03254266
0.0,0.5,0.014478258,0.0007882771,0.028076272
0.0,0.15384616,0.009798541,0.00027911385,0.016706701
0.0,0.22222222,0.008085412,0.0002589995,0.01609346
0.0,0.3846154,0.0077024894,0.0003529294,0.018786415
0.0,0.275,0.009608707,0.00049109757,0.022160722
0.0,0.4878049,0.012616519,0.00092464767,0.030408021
0.0,0.23809524,0.011881788,0.00052051124,0.022814715
0.0,0.42857143,0.012915726,0.00083685556,0.028928455
0.0,0.5263158,0.013849505,0.0012244236,0.034991767
0.0,0.3392857,0.014816391,0.0011271542,0.033573117
0.0,0.44444445,0.014169852,0.00095653965,0.030927975
0.0,0.4375,0.019904472,0.0016318962,0.040396735
0.0,0.35576922,0.0273094,0.0023003556,0.04796202
0.0,0.58,0.033981286,0.003248017,0.056991376
0.0,0.47058824,0.03758843,0.00416685,0.06455114
0.0,0.4057971,0.028483743,0.0024569838,0.04956797
0.0,0.3148148,0.019340217,0.001122201,0.033499267
0.0,0.27027026,0.013153971,0.0006897722,0.026263515
0.0,0.22222222,0.010648064,0.00045484418,0.021327076
0.0,0.625,0.009967581,0.00060044153,0.024503909
0.0,0.17391305,0.009115309,0.00037097448,0.019260697
0.9476953,1.0,0.99377483,5.0456314e-05,0.007103261
3.522461,93.78418,37.0657,79.41099,8.911284
15.460884,1816.7357,369.5339,31718.7,178.09744
3.932033,42.623184,18.721537,19.037989,4.3632545
3.517334,93.77002,37.077927,79.38637,8.909903
14.639862,1815.4409,369.90436,31946.416,178.73561
3.8262072,42.60799,18.729998,19.091524,4.369385
3.5395508,93.65918,37.097015,79.201256,8.899508
15.884123,1863.4014,399.8856,35692.71,188.92516
3.985489,43.167133,19.492243,19.93804,4.4652033
3.5708008,93.552246,37.13009,78.943695,8.885026
17.579464,1912.3444,437.15674,40775.848,201.93031
4.192787,43.73036,20.398273,21.06718,4.5899
3.597412,93.506836,37.171272,78.71583,8.872194
19.177746,1957.3545,471.9826,45946.684,214.35178
4.3792405,44.242,21.208767,22.170786,4.7085867
3.5117188,93.78003,37.06467,79.44388,8.91313
15.8294525,1809.2155,367.90857,31106.146,176.36935
3.9786243,42.534874,18.684292,18.80579,4.3365645
3.5161133,93.75513,37.077854,79.45941,8.9140005
14.877556,1788.0106,360.30328,29902.635,172.92378
